IP; Estado; Puerto 445; Puerto 3389
10.81.181.100;Vulnerable;open;Not Scanned
172.28.39.215;No Vulnerable;open;Not Scanned
192.168.40.156;No Vulnerable;open;Not Scanned
192.168.40.154;Vulnerable;open;Not Scanned
172.28.141.42;No Vulnerable;open;Not Scanned
172.28.141.215;No Vulnerable;open;Not Scanned
172.28.70.45;No Vulnerable;open;Not Scanned
10.81.181.55;Vulnerable;open;Not Scanned
192.168.40.46;No Vulnerable;open;Not Scanned
172.28.41.68;No Vulnerable;open;Not Scanned
172.28.176.247;No Vulnerable;open;Not Scanned
192.168.85.46;No Vulnerable;open;Not Scanned
192.168.183.55;Vulnerable;open;Not Scanned
172.28.18.15;No Vulnerable;open;Not Scanned
172.28.122.22;No Vulnerable;open;Not Scanned
192.168.40.60;No Vulnerable;open;Not Scanned
192.168.167.81;No Vulnerable;open;Not Scanned
172.28.18.143;No Vulnerable;open;Not Scanned
172.28.122.123;No Vulnerable;open;Not Scanned
172.28.176.53;No Vulnerable;open;Not Scanned
192.168.180.102;No Vulnerable;open;Not Scanned
10.81.181.35;No Vulnerable;open;Not Scanned
172.28.176.174;No Vulnerable;open;Not Scanned
192.168.130.40;No Vulnerable;open;Not Scanned
172.28.171.39;No Vulnerable;open;Not Scanned
192.168.53.70;No Vulnerable;open;Not Scanned
192.168.16.51;No Vulnerable;open;Not Scanned
192.168.40.150;No Vulnerable;open;Not Scanned
192.168.183.201;No Vulnerable;open;Not Scanned
192.168.40.45;Vulnerable;open;Not Scanned
172.28.18.239;No Vulnerable;open;Not Scanned
192.168.180.35;No Vulnerable;open;Not Scanned
172.28.122.77;No Vulnerable;open;Not Scanned
192.168.16.154;No Vulnerable;open;Not Scanned
192.168.85.29;No Vulnerable;open;Not Scanned
192.168.22.37;No Vulnerable;open;Not Scanned
192.168.167.16;No Vulnerable;open;Not Scanned
10.81.181.47;No Vulnerable;open;Not Scanned
192.168.40.159;No Vulnerable;open;Not Scanned
172.28.41.163;No Vulnerable;open;Not Scanned
192.168.40.131;No Vulnerable;open;Not Scanned
192.168.16.146;No Vulnerable;open;Not Scanned
172.28.41.223;No Vulnerable;open;Not Scanned
192.168.12.78;No Vulnerable;open;Not Scanned
172.28.171.189;No Vulnerable;open;Not Scanned
192.168.167.117;No Vulnerable;open;Not Scanned
172.28.39.51;No Vulnerable;open;Not Scanned
192.168.167.21;No Vulnerable;open;Not Scanned
172.28.142.42;No Vulnerable;open;Not Scanned
172.28.41.150;No Vulnerable;open;Not Scanned
192.168.53.212;No Vulnerable;open;Not Scanned
192.168.14.55;Vulnerable;open;Not Scanned
172.28.142.219;No Vulnerable;open;Not Scanned
192.168.180.39;No Vulnerable;open;Not Scanned
172.28.141.28;No Vulnerable;open;Not Scanned
192.168.26.187;No Vulnerable;open;Not Scanned
172.28.39.191;No Vulnerable;open;Not Scanned
192.168.180.56;Vulnerable;open;Not Scanned
172.28.41.215;No Vulnerable;open;Not Scanned
172.28.39.194;No Vulnerable;open;Not Scanned
192.168.40.149;No Vulnerable;open;Not Scanned
172.28.129.61;No Vulnerable;open;Not Scanned
172.28.122.25;No Vulnerable;open;Not Scanned
172.28.171.89;No Vulnerable;open;Not Scanned
172.28.171.228;No Vulnerable;open;Not Scanned
192.168.40.59;No Vulnerable;open;Not Scanned
172.28.171.117;No Vulnerable;open;Not Scanned
172.28.171.93;No Vulnerable;open;Not Scanned
172.28.159.142;No Vulnerable;open;Not Scanned
192.168.184.74;No Vulnerable;open;Not Scanned
192.168.184.33;No Vulnerable;open;Not Scanned
172.28.171.50;No Vulnerable;open;Not Scanned
172.28.18.228;No Vulnerable;open;Not Scanned
172.28.142.46;No Vulnerable;open;Not Scanned
192.168.26.185;No Vulnerable;open;Not Scanned
192.168.16.159;Vulnerable;open;Not Scanned
172.28.72.151;No Vulnerable;open;Not Scanned
192.168.6.169;No Vulnerable;open;Not Scanned
172.28.130.115;No Vulnerable;open;Not Scanned
192.168.167.120;No Vulnerable;open;Not Scanned
172.28.176.205;No Vulnerable;open;Not Scanned
192.168.16.45;No Vulnerable;open;Not Scanned
192.168.26.131;No Vulnerable;open;Not Scanned
